TRN|AIS|ประชาอุทิศ 1|BKK 002|0000|RO|BKK 002|11|GSM|BKK|MACRO|20010206|20040205|1111006713|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|1080000.00|30000.00|0.00|0.00|0.00||00000000|09|0000000030000|00|0000000000000|20030201|360000.00|0.00|18000.00|0.00|720000.00|720000.00|360000.00|690000.00|360000.00|13|02|10
PRO|AIS|ประชาอุทิศ|BKK 002|0002|RO|101114||GSM|BKK|MACRO|20040206|20070205|1111006713|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|1188000.00|33000.00|0.00|0.00|0.00||00000000|09|0000000033000|00|0000000000000|20040206|396000.00|0.00|19800.00|0.00|1188000.00|1188000.00|0.00|1089000.00|0.00|36|03|00
TRN|AIS|รัตนาธิเบศร์ 1|BKK 003|0000|RO|BKK 003||GSM|BKK|MACRO|20010401|20040331|1111007212|0000053160|นนทบุรี||12|12|0.00|0.00|180000.00|5000.00|0.00|0.00|0.00||00000000|00|0000000000000|00|0000000000000|20030401|60000.00|0.00|0.00|0.00|60000.00|60000.00|120000.00|55000.00|0.00|12|01|09
PRO|AIS|รัตนาธิเบศร์ 1|BKK 003|0003|RO|||GSM|BKK|MACRO|20040401|20070331|1111007212|0000053160|นนทบุรี||12|12|0.00|0.00|180000.00|5000.00|0.00|0.00|0.00||00000000|00|0000000000000|00|0000000000000|20040401|60000.00|0.00|0.00|0.00|180000.00|180000.00|0.00|165000.00|0.00|36|03|00
PRO|AIS|รัตนาธิเบศร์ 1|BKK 003|0004|MO|||GSM|BKK|MACRO|20040324|20040324|1111007212|0000053160|นนทบุรี||00|00|0.00|0.00|60000.00|60000.00|0.00|0.00|0.00||00000000|00|0000000000000|00|0000000000000|20040324|60000.00|0.00|0.00|0.00|60000.00|60000.00|0.00|0.00|0.00|01|01|00
TRN|AIS|บางใหญ่ 1|BKK 006|0000|RO|BKK 006||GSM|BKK|MACRO|20010601|20040531|1111001887|0000053160|นนทบุรี||00|00|0.00|0.00|564696.00|15686.00|0.00|0.00|0.00||00000000|09|0000000015686|00|0000000000000|20030201|15686.00|0.00|784.30|0.00|78430.00|78430.00|486266.00|0.00|0.00|05|05|00
TRN|AIS|ท่าพระ 1|BKK 008|0000|RO|BKK 008||GSM|BKK|MACRO|20010601|20040531|1111005642|0000053160|กรุงเทพมหานคร||00|00|0.00|0.00|1044000.00|29000.00|0.00|0.00|0.00||00000000|09|0000000029000|00|0000000000000|20030201|29000.00|0.00|1450.00|0.00|145000.00|145000.00|899000.00|0.00|0.00|05|05|00
PRO|AIS|ท่าพระ 1|BKK 008|0003|RO|101185||GSM|BKK|MACRO|20040601|20070531|1111005642|0000053160|กรุงเทพมหานคร||00|00|0.00|0.00|1044000.00|29000.00|0.00|0.00|0.00||00000000|09|0000000029000|00|0000000000000|20040601|29000.00|0.00|1450.00|0.00|1044000.00|1078000.00|0.00|0.00|0.00|38|37|00
PRO|AIS|ท่าพระ 1|BKK 008|0004|MO|101185||GSM|BKK|MACRO|20040609|20040609|1111005642|0000053160|กรุงเทพมหานคร||00|00|0.00|0.00|20250.00|20250.00|21315.79|0.00|0.00||00000000|09|0000000021316|00|0000000000000|20040609|21315.79|0.00|1065.79|0.00|21315.79|21315.79|1065.79|0.00|0.00|01|01|00
TRN|AIS|สีกัน 1|BKK 009|0000|RO|BKK 009||GSM|BKK|MACRO|20010601|20040531|1111007840|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|309465.00|8596.25|0.00|0.00|0.00||00000000|08|0000000008596|00|0000000000000|20030601|103155.00|0.00|5157.75|0.00|206310.00|206310.00|103155.00|197713.75|68770.00|17|02|14
PRO|AIS|สีกัน|BKK 009|0002|RO|101149||GSM|BKK|MACRO|20040601|20070531|1111007840|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|340452.00|9457.00|0.00|0.00|0.00||00000000|08|0000000009457|00|0000000000000|20040601|113484.00|0.00|5674.20|0.00|340452.00|340452.00|0.00|312081.00|0.00|36|03|00
PRO|AIS|รามอินทรา 2|BKK 010|0003|RO|||GSM|BKK|MACRO|20040701|20070630|1111008323|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|1642545.00|45626.25|0.00|0.00|0.00||00000000|00|0000000000000|00|0000000000000|20040701|547515.00|0.00|0.00|0.00|1642545.00|1642545.00|0.00|1505666.25|0.00|36|03|00
